horizon,coef,se,label
-10,-0.15548110630067724,1.960682653646585,csh_i
-9,-0.5610407587359947,1.7391084873871803,csh_i
-8,-1.083624921686328,1.7769824920262598,csh_i
-7,0.3976571825562584,1.366193652419271,csh_i
-6,-1.2730741502379261,1.5680154910160518,csh_i
-5,0.31741337651822676,1.0838949800912694,csh_i
-4,1.3434251161669147e-15,8.759119742510439e-16,csh_i
-3,2.816705062563452e-15,5.032560928054471e-15,csh_i
-2,2.407308816423035e-15,3.774532126274118e-15,csh_i
-1,1.4891671196336666e-15,8.179847200511319e-16,csh_i
0,2.9981677208484747,0.8896905112628967,csh_i
1,7.780769710866606,1.1346535853123947,csh_i
2,7.037497089464985,1.4431548142529629,csh_i
3,5.7047161524079275,1.8402838810706856,csh_i
4,5.5438456733831725,1.49326565433211,csh_i
5,5.3605317587705095,1.5844070000710797,csh_i
6,4.084278959879,1.371532083305509,csh_i
7,1.727228886294646,1.748893399957951,csh_i
8,2.9299522636191067,1.7544806770897532,csh_i
9,0.4026556386322087,1.6580751149655695,csh_i
10,2.1920427247187506,1.6503997777314274,csh_i
11,1.3359407924924132,1.8918574673676076,csh_i
12,1.486972410423112,2.0667584047478735,csh_i
13,0.6538219531601851,2.702877604940805,csh_i
14,-0.052041992240719745,2.8458015512060406,csh_i
15,-0.10571597383683272,2.2561766027846977,csh_i
16,-0.5334338818349035,2.6347482759885863,csh_i
17,-1.5399012616895118,2.6211070427429273,csh_i
18,-0.9891957598372618,2.266209303768961,csh_i
19,-1.2928400476543849,2.3752662571518153,csh_i
20,2.2295660164031523,2.254982056838038,csh_i
21,-0.19671004349738597,1.9649588523398567,csh_i
22,-3.2565773890491445,2.666398598015417,csh_i
23,-0.8126594982062262,2.3507219243182167,csh_i
24,-1.536026299271032,2.193068557404334,csh_i
25,-0.11681850722625793,2.6590124072111427,csh_i
