horizon,coef,se,label
-10,2.5100769654690698,1.8313225457862563,irr
-9,2.6117025562829426,1.9244259728297588,irr
-8,1.7693385105327961,2.4285006947060443,irr
-7,1.119734873945483,1.7301896176615432,irr
-6,-0.42080451937622854,1.1490064668771516,irr
-5,-0.773573973849951,0.7546677832701598,irr
-4,2.950772252008933e-15,3.74278638953586e-15,irr
-3,2.693989042901604e-16,2.810074208720437e-15,irr
-2,-1.4216453168646216e-15,2.000128556237382e-15,irr
-1,1.7082958063245487e-15,1.2539726118307737e-15,irr
0,0.9663767628030888,1.169897592838755,irr
1,3.8700950079288177,1.34782521545937,irr
2,3.001759298910651,1.506527996251935,irr
3,1.512615639273202,1.460234246537729,irr
4,2.1598082487279116,1.4699178449067225,irr
5,2.7443775053336794,1.4272346941130354,irr
6,2.4541513239609407,1.351640644582678,irr
7,2.068914363025924,1.571319963542668,irr
8,0.7733638094835468,1.7712929488771938,irr
9,0.500912148393241,1.6208814022397169,irr
10,1.3988379140289169,1.2387480581704906,irr
11,1.858905872740322,1.564337178583276,irr
12,1.5040476262668436,1.5760821452218017,irr
13,1.1566923977902912,1.7274375327212745,irr
14,1.765051510473337,1.615122778475519,irr
15,0.7137926661278321,1.6501181852356221,irr
16,-0.6637095422403533,1.5298693344398286,irr
17,-1.326712803390114,1.5921209021594835,irr
18,-2.338264024381052,1.8113569249827801,irr
19,-1.2260759907820589,2.1112358851807222,irr
20,-3.6495277396062185,1.8704110232152498,irr
21,-5.172785774681462,1.6353989029840084,irr
22,-4.731883309046895,1.3225287098170673,irr
23,-4.032150984536038,1.4355872531160316,irr
24,-5.286974002942711,1.5035967584203582,irr
25,-6.077790744942649,1.4886003590546457,irr
