horizon,coef,se,label
-10,-0.19750934705813733,0.6689037801369917,log_hc
-9,-0.03128930775904852,0.6009322978183052,log_hc
-8,0.008667217175130857,0.4944761003133954,log_hc
-7,0.04870440557802605,0.3559244947860284,log_hc
-6,0.05766224339708881,0.25677868942205734,log_hc
-5,0.06429454179386984,0.14916623093686493,log_hc
-4,-6.956800758623487e-16,7.521275928809961e-16,log_hc
-3,-6.914280351505523e-17,1.5927135245696054e-16,log_hc
-2,3.0527293489312817e-16,2.841179979025428e-16,log_hc
-1,6.652513420850119e-16,8.448526182241746e-16,log_hc
0,-0.07816834870614656,0.13137642009835326,log_hc
1,-0.03531822633739791,0.2231576994530603,log_hc
2,0.24241887299053058,0.3349115711252007,log_hc
3,0.3168429980652597,0.4216047112283066,log_hc
4,0.4295937097621402,0.5803298785085246,log_hc
5,0.38909462134332484,0.7173423895962003,log_hc
6,0.1662269781820333,0.8057201615504195,log_hc
7,-0.3861334353361008,0.8413743879603682,log_hc
8,-0.3459505265557217,0.924850145265095,log_hc
9,-0.45409604785182434,0.9791137863903727,log_hc
10,-0.523826119711448,1.0519283914381121,log_hc
11,-0.49848606316725236,1.1226576382434803,log_hc
12,-0.3323368400721737,1.14286289750061,log_hc
13,-0.5764717884614912,1.0790128573720417,log_hc
14,-0.6798125039394691,1.0934706658496638,log_hc
15,-0.5398361737887388,1.10593132960722,log_hc
16,-0.1540655410207763,1.1170447912454664,log_hc
17,0.2132794447325382,1.187470350327432,log_hc
18,0.32440543479282513,1.2520177035888396,log_hc
19,0.5179621312347026,1.319863995806814,log_hc
20,0.9035914070938994,1.4174686737278201,log_hc
21,0.7909819974719201,1.6859398192449182,log_hc
22,1.8960128353431773,1.5724762421571121,log_hc
23,2.371761012700523,1.633755526400474,log_hc
24,3.074655771103521,1.9082521371347034,log_hc
25,2.1522848992564136,1.5668807337659976,log_hc
