horizon,coef,se,label
-10,-4.684359556193619,3.1030042705675602,log_k
-9,-4.094919574211406,2.6463244953027836,log_k
-8,-3.4572533696121996,2.2453732941025755,log_k
-7,-1.8962327891751278,1.90459886199626,log_k
-6,-1.1243627782415697,1.3761463179026978,log_k
-5,-0.3912764498269205,0.5405808439438987,log_k
-4,-1.964091653190848e-14,2.4237789334055116e-14,log_k
-3,1.3451754324939267e-15,1.802124990980683e-15,log_k
-2,1.1097300909815531e-16,8.820577154641829e-16,log_k
-1,-6.764492477605586e-15,1.4066404565559081e-14,log_k
0,1.3849502329828394,0.5086050288468205,log_k
1,5.368341454022839,1.014272526485111,log_k
2,8.652207130757455,1.5258337598042873,log_k
3,11.42561655663449,2.135529006652335,log_k
4,13.56783028917797,2.612439396751621,log_k
5,15.023497863938472,3.0043858428903687,log_k
6,15.962820338594176,3.347199038798709,log_k
7,15.695074886630433,3.766162400005166,log_k
8,16.406666161249564,4.228419726149695,log_k
9,15.557025919167012,4.604594996998089,log_k
10,16.631609188350584,4.899757183367888,log_k
11,15.436406773786851,4.836528322962818,log_k
12,16.07264195456442,4.88937309473699,log_k
13,16.252387590398406,5.104845660430023,log_k
14,16.01804615015958,5.547648378801722,log_k
15,15.423570966622782,5.427570518311166,log_k
16,15.314151296571954,5.444078931408843,log_k
17,13.179645189006346,5.244944111770986,log_k
18,12.125717828975823,5.4211627289748865,log_k
19,12.04870815091968,5.543765793669101,log_k
20,14.906622379026512,5.625859904140702,log_k
21,13.856917240418648,5.507904832598598,log_k
22,12.656225980424985,5.6602603962818625,log_k
23,11.697412570306735,5.673151534137663,log_k
24,10.584178086069418,6.005285636071596,log_k
25,12.364526409190567,5.5476827688162,log_k
