horizon,coef,se,label
-10,-0.7162537040357473,3.5259137782138086,log_tfp
-9,3.4485073283550203,3.6784745994893426,log_tfp
-8,2.8665083892244216,4.131478189631923,log_tfp
-7,2.2969317297512,3.1411141833569247,log_tfp
-6,0.5438661770153024,2.5189566634116036,log_tfp
-5,-0.43842271232564756,1.7355665633777455,log_tfp
-4,3.221364131765261e-15,7.78759044653953e-15,log_tfp
-3,-4.717215999138894e-18,1.3370479708637754e-15,log_tfp
-2,-6.542155617170254e-16,1.3904558097606962e-15,log_tfp
-1,-1.097902702403397e-15,1.8954110842840054e-15,log_tfp
0,4.0809258474445445,3.156950771617166,log_tfp
1,4.427987394310524,3.2699243662862902,log_tfp
2,4.336551084869286,3.610168700102509,log_tfp
3,6.608606677799204,4.618749519503006,log_tfp
4,8.089245960611448,4.323356347983604,log_tfp
5,7.35719252887484,4.08271285116468,log_tfp
6,8.5156777103204,4.153515034414996,log_tfp
7,10.450723666344196,4.691955252690091,log_tfp
8,12.071793834845094,4.24280875763194,log_tfp
9,7.923780628129357,4.261435782207056,log_tfp
10,7.811991723844761,5.049969661086764,log_tfp
11,6.301427080443862,5.671140954246121,log_tfp
12,6.822266268647173,5.841638318618705,log_tfp
13,4.093990770107391,6.197801660347504,log_tfp
14,4.797675317069874,6.292806552909091,log_tfp
15,2.293539345587927,5.5528778660581635,log_tfp
16,2.522291232088887,6.505699459775526,log_tfp
17,0.7126705050639739,7.105745817123767,log_tfp
18,-4.597809167362919,6.6070109656728775,log_tfp
19,-5.280960066538932,6.471397109904009,log_tfp
20,-7.972202855881072,5.95246650361609,log_tfp
21,-2.822023445147267,4.084249808254122,log_tfp
22,-0.44628956129168795,4.6698976428545675,log_tfp
23,-1.4614496226461196,6.158690143398755,log_tfp
24,-0.9427874372630477,6.369861985952983,log_tfp
25,-1.5008826171662957,6.967103884412811,log_tfp
