horizon,coef,se,label
-10,-8.726236666347749,4.049021761942669,trade
-9,-8.178294091800987,4.20688170340362,trade
-8,-6.68363231516195,4.798874535263928,trade
-7,-6.00907355546803,3.9788654617442263,trade
-6,-5.842494911409059,3.0285391807674378,trade
-5,-0.026579868361229626,2.502825570857498,trade
-4,-2.078408863757129e-15,2.0332179788730064e-15,trade
-3,8.971393026698122e-15,4.4117043412469874e-15,trade
-2,5.750892965832129e-16,1.9866887284366195e-15,trade
-1,-5.876724635083829e-15,1.0041069087013173e-14,trade
0,4.573566578900224,2.241643653845739,trade
1,5.2998611223541765,3.5594250189653773,trade
2,8.36684725748941,4.153246448402561,trade
3,3.70256348228427,5.001360895875775,trade
4,1.6502545078303403,4.846140422201821,trade
5,-0.6112125579647923,5.480552929102057,trade
6,-3.9034478497379994,4.6169017702638,trade
7,-1.337681640324264,5.077014825031203,trade
8,-6.112002714119489,4.865484652187057,trade
9,-1.7290678998827267,5.518281943281591,trade
10,2.577230882843234,5.209793240814237,trade
11,2.165243335824921,4.870606194217589,trade
12,5.630990880288771,5.874459843212815,trade
13,6.397310775902473,6.311438017569632,trade
14,5.574660571774125,5.368152674156842,trade
15,8.41916622272401,5.083863548709989,trade
16,10.92008610001664,5.694584757329509,trade
17,11.711685745439908,5.590435310737379,trade
18,6.766242569968897,5.539645297320363,trade
19,5.960830772870086,5.2212496175986685,trade
20,10.574149009496429,4.6569967245955715,trade
21,14.043744477477048,4.094656687525766,trade
22,7.000849692213949,4.676411504630834,trade
23,6.718961990159221,4.172060436699984,trade
24,3.150262862730266,4.448079397715278,trade
25,10.0654191233839,4.628653064043753,trade
