horizon,coef,se,label
-10,-7.3977553561873854,7.002052503944219,yPWT
-9,-3.9873459821045176,6.3359092211147,yPWT
-8,-1.5294918766884547,5.284301623982099,yPWT
-7,-2.2133746316220346,4.462182256076783,yPWT
-6,-1.0500193839119867,3.1277345638735894,yPWT
-5,0.40762342537742363,1.637409327992513,yPWT
-4,1.6250807457492448e-14,6.236266280553009e-09,yPWT
-3,-2.71843689572658e-15,6.438566895099662e-09,yPWT
-2,3.4953907074330623e-17,6.69587228826547e-09,yPWT
-1,1.5520663695180711e-15,4.94492068091432e-15,yPWT
0,4.398284276141449,2.087019184185309,yPWT
1,12.179623272315121,2.594359044797532,yPWT
2,18.365585644478355,3.472992319489856,yPWT
3,22.720655264939655,3.923566516225397,yPWT
4,25.495956016757717,3.3213904111601735,yPWT
5,24.48755875565385,3.2540388093345682,yPWT
6,23.0388393113782,3.5162056113710953,yPWT
7,23.481898672176907,4.241026629160349,yPWT
8,22.22817198907895,4.473038456999521,yPWT
9,17.297469610996064,4.9449276819822945,yPWT
10,18.3426700099754,5.0948640101627305,yPWT
11,19.443610071582594,4.906711410887313,yPWT
12,21.193839812201922,5.665693496012638,yPWT
13,17.44961871790161,5.6986432756117065,yPWT
14,19.262881921084407,6.259055733550426,yPWT
15,16.221255506130625,5.996492804988475,yPWT
16,14.775483345276422,6.575942008668668,yPWT
17,13.364956921609478,6.585540595092878,yPWT
18,12.303834860752437,5.992334240431659,yPWT
19,12.235937582208932,6.341882198929306,yPWT
20,11.54110097496621,6.858385255902858,yPWT
21,9.809931049980307,5.573116711326192,yPWT
22,9.196887316055163,4.759255745452177,yPWT
23,9.163762456117231,5.014828534974278,yPWT
24,6.286018760328646,4.662386531084372,yPWT
25,5.692589488262348,4.645611346139176,yPWT
