country_code,decade,contemporaneous_effect
AFG,1960s,3.1243882311239886
AFG,1970s,-1.9395954093652032
AFG,1980s,0.0587155610771215
AFG,1990s,2.868983951175955
AFG,2000s,15.412767252942242
AFG,2010s,0.5723596767077518
AFG,2020-2024,-2.4462788919964864
AGO,1960s,1.3663418939625644
AGO,1970s,-2.3802393883267046
AGO,1980s,2.414942075088363
AGO,1990s,2.690477955529732
AGO,2000s,-0.32244980193735007
AGO,2010s,-0.6087355693984787
AGO,2020-2024,-0.18077865814253977
ALB,1960s,0.09067739488098953
ALB,1970s,-3.2050808121080006
ALB,1980s,5.025740179379849
ALB,1990s,8.770819864547814
ALB,2000s,-1.2957240484642694
ALB,2010s,-1.8922355651130471
ALB,2020-2024,-0.5251854707362017
AND,1960s,-0.25632933370656785
AND,1970s,-0.6324995075172409
AND,1980s,-0.22827852925753964
AND,1990s,5.605511963910472
AND,2000s,1.7414732646298823
AND,2010s,-0.9165490898056438
AND,2020-2024,-1.1638001068104553
ARE,1960s,3.4122410844212343
ARE,1970s,3.578424555890304
ARE,1980s,5.432611916041706
ARE,1990s,-3.1014419636973187
ARE,2000s,0.6620940465888167
ARE,2010s,-0.05321200567353189
ARE,2020-2024,-0.8812133981475847
ARG,1960s,-4.582296688796447
ARG,1970s,1.625070731189932
ARG,1980s,5.349818642804948
ARG,1990s,1.2304531918058812
ARG,2000s,-9.790785866085729
ARG,2010s,0.6838796928671378
ARG,2020-2024,0.4438762933571136
ARM,1960s,7.406598952485992
ARM,1970s,-0.716126224486487
ARM,1980s,3.6279335798414607
ARM,1990s,8.660516466045445
ARM,2000s,-1.4707380939432726
ARM,2010s,0.9145064099499465
ARM,2020-2024,0.5666586767478605
ATG,1960s,-6.285798902354845
ATG,1970s,0.8488219175403509
ATG,1980s,5.847979110024889
ATG,1990s,-2.3486239561197486
ATG,2000s,1.0041908857640007
ATG,2010s,0.9054649990661099
ATG,2020-2024,-0.09394288113117108
AUS,1960s,-1.5588430872793313
AUS,1970s,-1.4820300530120492
AUS,1980s,1.6647593039261928
AUS,1990s,-0.8533708358515899
AUS,2000s,1.5702849589459527
AUS,2010s,1.3113153836590288
AUS,2020-2024,0.7793670418883785
AUT,1960s,-1.3820403001263564
AUT,1970s,-0.9362855273761046
AUT,1980s,-5.201974190463042
AUT,1990s,6.628225564866538
AUT,2000s,-0.5283889263345343
AUT,2010s,-0.8795238299969919
AUT,2020-2024,1.2251730815417794
AZE,1960s,6.6584750129127155
AZE,1970s,0.9184602385501969
AZE,1980s,2.8402873059717977
AZE,1990s,6.86597287495136
AZE,2000s,1.338550928327384
AZE,2010s,-1.366565941298228
AZE,2020-2024,-0.5735272351265375
BDI,1960s,2.211173516401286
BDI,1970s,0.24250825741101673
BDI,1980s,0.08422941803708221
BDI,1990s,-3.1601021912496905
BDI,2000s,3.836971893098592
BDI,2010s,-6.748897785174442
BDI,2020-2024,3.1908957372450883
BEL,1960s,-0.8352278479808244
BEL,1970s,-2.896156948216878
BEL,1980s,-1.2790552260552033
BEL,1990s,1.0361441633468118
BEL,2000s,-0.10810811644144885
BEL,2010s,-1.6467290558627377
BEL,2020-2024,1.069072969402051
BEN,1960s,-8.302558839360787
BEN,1970s,0.0634823620022728
BEN,1980s,5.502750946618181
BEN,1990s,0.7300580639147357
BEN,2000s,-1.24272231835987
BEN,2010s,-1.0591040688453583
BEN,2020-2024,0.7899350119963477
BFA,1960s,-4.882982576417992
BFA,1970s,0.3521318813539373
BFA,1980s,-3.5288619775776735
BFA,1990s,0.4192743010684423
BFA,2000s,6.579558030207553
BFA,2010s,-1.5397019325638903
BFA,2020-2024,-3.021772429619161
