horizon,coef,se
-10.0,-69.0092726300489,29.436936214324323
-9.0,-49.36732282071405,32.584231503100256
-8.0,-28.210001164745755,25.251551375524627
-7.0,-16.879598917301518,20.936227615489745
-6.0,-25.49903502558699,13.754151187589136
-5.0,-2.6647581557922013,8.952476001580598
-4.0,-8.346415268435435e-15,5.249511630658129e-13
-3.0,9.771468296876669e-17,4.503314664405231e-14
-2.0,3.3140129497664236e-16,5.335504608973536e-15
-1.0,9.86126935387553e-17,3.5663355996118064e-14
0.0,-0.9909947794363059,3.9744802765955876
1.0,1.5390423734503895,9.079858667948328
2.0,18.534113220608777,10.900777728510466
3.0,34.8605539046418,19.01765618846305
4.0,40.651419694514544,19.27226776589385
5.0,42.413584299635964,24.710461556213982
6.0,34.84926475861333,25.768792040816585
7.0,24.29609854002363,26.111721788620695
8.0,19.09762413363821,28.450011195310672
9.0,28.219680414254434,28.913645537279336
10.0,41.10164853764334,31.013127573011865
11.0,44.45711223508053,27.330940664147366
12.0,44.206957031629535,25.97288773977335
13.0,46.89359676884001,23.593061836348074
14.0,39.64093579183933,22.30444239215677
15.0,21.93340700104269,22.935433330846564
16.0,9.387223842875969,25.2599853117171
17.0,5.848853729146752,24.239122872640955
18.0,-6.407302021220037,26.439672269738264
19.0,-10.24576423567122,26.289035026187268
20.0,-5.752652390092748,27.043759402837047
21.0,-9.356706232686179,23.5537782407016
22.0,-13.765585542830191,19.254705070413966
23.0,-25.282097741864195,15.374188773405454
24.0,-17.134577148161245,17.547970729503387
25.0,-18.748400085533312,24.517180833774688
