horizon,coef,se
-10.0,1.0453337862745882,15.833186883359257
-9.0,6.400673750039478,16.039507597516685
-8.0,6.2043530859210385,16.73325434277986
-7.0,7.452129434090458,14.131883548688764
-6.0,-13.914334663544041,11.516296671421648
-5.0,2.66497772625256,5.202328986508673
-4.0,6.7890643229077065e-15,5.945709951552175e-14
-3.0,-4.016466427472536e-16,5.370060611797665e-15
-2.0,1.4078687543220791e-15,1.9289218266854492e-14
-1.0,-8.616768364160454e-15,4.5241672672877e-14
0.0,-0.6155214016414312,6.782069896744483
1.0,6.41086441614034,10.712263146719552
2.0,34.89090421891783,15.27073267345782
3.0,40.72900112306528,21.71623173642768
4.0,35.87672608639045,17.970660092980506
5.0,44.79054512085203,17.895951384281148
6.0,30.176568117221425,21.71810952428869
7.0,18.2031208771943,27.714036129061668
8.0,6.774587189900046,28.13234343331282
9.0,12.553784924767207,25.758764074971236
10.0,27.192994567031597,25.10280374281697
11.0,27.892232313258845,24.35489351382523
12.0,17.952289998238474,25.591378878773998
13.0,43.63373668422832,24.72820539580783
14.0,38.732056366287345,24.377429026762936
15.0,24.505601432018537,24.292923244084893
16.0,12.817923607776505,30.482624491409307
17.0,4.54903756566227,27.603666581247513
18.0,-11.253519810145189,26.249180682734526
19.0,-27.291768081751876,28.24558093198648
20.0,-42.17657142047704,32.373507254463675
21.0,-38.20535141434669,30.935230941976094
22.0,-46.548339229524245,27.447292536692096
23.0,-62.14470707386438,25.11641019321085
24.0,-77.48275581661008,25.947913449882748
25.0,-82.45767491855982,41.717087634048255
