horizon,coef,se,ci_lo,ci_hi,spec
0,1.4000779,2.3718998,-3.2488458,6.0490017,1
1,6.2272511,3.9702964,-1.5545298,14.009032,1
2,10.856635,5.1072278,.84646863,20.866802,1
3,13.882987,5.9298086,2.2605615,25.505411,1
4,18.213831,6.7869191,4.911469,31.516193,1
5,15.154872,7.3313837,.78536016,29.524384,1
6,16.559046,6.7637277,3.3021398,29.815952,1
7,17.843433,7.1753244,3.7797968,31.907068,1
8,13.382531,7.9784045,-2.2551417,29.020205,1
9,7.5581341,9.1116638,-10.300727,25.416996,1
10,1.969328,8.4367161,-14.566636,18.505293,1
0,4.960587,3.0603118,-1.0376238,10.958798,2
1,13.84706,3.9838243,6.0387645,21.655355,2
2,16.187733,5.0330424,6.3229694,26.052496,2
3,17.599627,5.5111418,6.7977886,28.401464,2
4,14.92649,5.9412208,3.2816975,26.571283,2
5,10.087396,6.4025412,-2.461585,22.636375,2
6,6.1146874,6.4442492,-6.5160413,18.745417,2
7,3.2263691,6.3642602,-9.2475805,15.700319,2
8,2.2460804,6.0838513,-9.6782675,14.170428,2
9,-1.0611404,5.4552441,-11.753419,9.6311378,2
10,1.6950389,5.4023147,-8.8934984,12.283576,2
