h,coef,se,spec,ci_lo,ci_hi
-10,-5.5621324,7.5798316,1,-20.418602,9.2943373
-9,-1.5449842,5.8348684,1,-12.981326,9.8913584
-8,-1.0631714,3.9878054,1,-8.8792696,6.7529273
-7,-1.7236868,2.8832808,1,-7.374917,3.9275434
-6,-3.1426611,2.1324713,1,-7.3223047,1.0369827
-5,-1.2779102,1.3267934,1,-3.8784254,1.3226049
-4,-7.9420228e-14,7.6016206e-14,1,-2.2841199e-13,6.9571539e-14
-3,-2.6517658e-15,3.7074480e-15,1,-9.9183636e-15,4.6148320e-15
-2,-5.3122823e-15,2.9280038e-15,1,-1.1051169e-14,4.2660513e-16
-1,0,5.8096301e-19,1,-1.1386875e-18,1.1386875e-18
0,3.53233,1.8490729,1,-.091852911,7.1565132
1,10.120375,2.7476585,1,4.7349639,15.505785
2,15.562805,3.6872733,1,8.3357496,22.789862
3,19.979996,4.6024461,1,10.959202,29.00079
4,20.153316,5.4118452,1,9.5460997,30.760532
5,22.000717,5.2829552,1,11.646125,32.355309
6,21.925728,5.3735642,1,11.393542,32.457912
7,21.964918,5.5463362,1,11.094099,32.835735
8,20.819489,5.6120324,1,9.8199053,31.819073
9,19.736115,5.786551,1,8.394475,31.077755
10,20.731667,5.9317789,1,9.1053801,32.357952
11,23.675541,5.8454814,1,12.218397,35.132683
12,22.503557,5.503922,1,11.71587,33.291245
13,20.774345,5.2380147,1,10.507836,31.040854
14,19.006308,5.201158,1,8.8120375,29.200577
15,17.848999,5.4110308,1,7.2433786,28.454618
16,15.344418,5.6451874,1,4.2798505,26.408985
17,14.814699,5.6096311,1,3.8198223,25.809576
18,11.838586,5.7568846,1,.5550921,23.12208
19,9.6419325,5.3990264,1,-.94015926,20.224024
20,9.7424383,5.4382739,1,-.91657853,20.401455
21,9.337821,5.3360248,1,-1.1207875,19.796429
22,8.0292482,5.2171397,1,-2.1963456,18.254843
23,7.460371,5.2363043,1,-2.8027854,17.723528
24,5.313488,5.321085,1,-5.1158385,15.742815
25,3.6389718,5.5854726,1,-7.3085546,14.586498
-10,-6.474977,7.6467891,2,-21.462683,8.5127296
-9,-3.0612833,6.0636439,2,-14.946026,8.8234587
-8,-2.6806393,4.338088,2,-11.183291,5.8220134
-7,-2.5571978,3.2276978,2,-8.8834858,3.7690899
-6,-3.2841327,2.2098868,2,-7.6155109,1.0472454
-5,-1.2294961,1.2309231,2,-3.6421053,1.1831131
-4,-1.9611642e-14,1.2758374e-14,2,-4.4618057e-14,5.3947723e-15
-3,0,6.2279863e-20,2,-1.2206853e-19,1.2206853e-19
-2,-2.4596043e-15,1.4520006e-15,2,-5.3055255e-15,3.8631688e-16
-1,5.4197861e-14,1.6451692e-14,2,2.1952544e-14,8.6443175e-14
0,2.6969702,1.9741137,2,-1.1722926,6.5662332
1,7.3733859,3.283124,2,.93846291,13.808309
2,11.659991,4.4775314,2,2.8840296,20.435953
3,15.345076,5.235105,2,5.0842695,25.605881
4,15.678796,5.9187174,2,4.0781097,27.279482
5,18.00596,5.7729502,2,6.6909781,29.320942
6,19.10108,5.8431692,2,7.6484685,30.553692
7,20.023506,5.9868789,2,8.2892237,31.75779
8,19.647179,6.0775685,2,7.7351441,31.559214
9,19.143019,5.9950137,2,7.3927917,30.893246
10,20.203064,6.2124376,2,8.0266867,32.37944
11,23.52836,6.3853612,2,11.013052,36.043667
12,23.162601,6.3743253,2,10.668924,35.656281
13,21.704119,6.5035534,2,8.9571543,34.451084
14,21.456747,6.9427385,2,7.8489795,35.064514
15,20.196608,7.4105482,2,5.6719332,34.721283
16,17.613134,7.8169184,2,2.2919743,32.934296
17,15.641124,7.7072825,2,.53485,30.747398
18,11.99585,7.740756,2,-3.1760323,27.167732
19,8.8766136,7.0442033,2,-4.9300246,22.683252
20,8.9490442,6.7112579,2,-4.2050214,22.103109
21,7.0059862,6.2161112,2,-5.1775918,19.189564
22,4.6062088,5.5309982,2,-6.2345476,15.446965
23,2.4333723,5.141118,2,-7.643219,12.509964
24,.8569476,5.1243486,2,-9.1867762,10.900671
25,.90060651,5.2430596,2,-9.3757906,11.177004
-10,-8.709754,9.4280796,3,-27.188789,9.7692823
-9,-4.9727015,7.4175634,3,-19.511126,9.5657225
-8,-3.6293488,4.997777,3,-13.424992,6.1662941
-7,-2.4111266,3.5250068,3,-9.3201399,4.4978867
-6,-2.5588331,2.220366,3,-6.9107504,1.7930843
-5,-1.0925727,1.3631239,3,-3.7642956,1.5791502
-4,8.7757179e-15,7.1609707e-15,3,-5.2597845e-15,2.2811221e-14
-3,0,2.7619968e-15,3,-5.4135138e-15,5.4135138e-15
-2,-8.8115635e-15,3.7630722e-15,3,-1.6187184e-14,-1.4359419e-15
-1,1.4714284e-14,4.3154923e-15,3,6.2559190e-15,2.3172648e-14
0,5.7431655,2.1186104,3,1.5906892,9.8956423
1,12.295643,3.5683403,3,5.3016958,19.289589
2,18.717693,4.9166079,3,9.0811415,28.354244
3,21.541063,6.0227885,3,9.7363977,33.34573
4,21.144005,6.9003725,3,7.6192746,34.668736
5,20.844267,6.8295622,3,7.4583249,34.230209
6,20.847971,6.8537965,3,7.4145298,34.28141
7,21.195642,6.8361778,3,7.7967339,34.594551
8,20.261976,6.8391757,3,6.857192,33.666759
9,16.920771,6.8768601,3,3.4421248,30.399416
10,16.718212,7.2587757,3,2.4910116,30.945412
11,18.225891,7.2706542,3,3.9754088,32.476372
12,17.053019,6.8436069,3,3.639549,30.466488
13,14.811801,6.4810472,3,2.1089485,27.514654
14,14.446117,6.6321325,3,1.4471376,27.445097
15,14.127103,6.7700286,3,.8578468,27.396358
16,10.810234,7.4520249,3,-3.7957349,25.416203
17,10.372588,7.626853,3,-4.5760436,25.32122
18,7.7887421,7.7124796,3,-7.3277178,22.905203
19,6.4798951,7.2892752,3,-7.8070841,20.766874
20,5.3598509,7.0097179,3,-8.3791962,19.098898
21,3.9497342,6.9652233,3,-9.7021036,17.601572
22,4.1271605,6.6364803,3,-8.8803406,17.134663
23,4.5579963,6.8621287,3,-8.8917761,18.007769
24,3.1607251,7.4140148,3,-11.370744,17.692194
25,3.5600715,7.6177583,3,-11.370735,18.490877
-10,-4.9762354,7.5480928,4,-19.770498,9.8180265
-9,-.94664961,5.8546658,4,-12.421795,10.528495
-8,-.70837313,4.1288967,4,-8.8010111,7.3842645
-7,-1.8776037,3.0518117,4,-7.8591547,4.1039472
-6,-3.8811886,2.453825,4,-8.6906853,.92830837
-5,-1.4897664,1.4754187,4,-4.381587,1.4020543
-4,-1.0586338e-13,7.9349328e-14,4,-2.6138805e-13,4.9661305e-14
-3,-2.7905348e-15,3.7406648e-15,4,-1.0122238e-14,4.5411681e-15
-2,2.7951391e-15,1.2880917e-15,4,2.7047935e-16,5.3197989e-15
-1,5.5992211e-15,2.6818711e-15,4,3.4275381e-16,1.0855689e-14
0,3.8434091,1.9905835,4,-.058134675,7.7449527
1,10.031226,2.9630532,4,4.2236419,15.838811
2,15.197735,4.090663,4,7.1800356,23.215435
3,18.951153,5.0690212,4,9.015871,28.886435
4,18.478344,5.9595242,4,6.7976766,30.159012
5,20.266039,5.82482,4,8.8493919,31.682686
6,20.39076,5.99297,4,8.6445389,32.136982
7,20.377277,6.1947818,4,8.2355051,32.519051
8,18.501934,6.3759065,4,6.0051575,30.998711
9,16.656057,6.6307678,4,3.6597524,29.652363
10,17.860094,6.7877684,4,4.5560679,31.16412
11,20.567757,6.6651559,4,7.5040512,33.631462
12,18.882893,6.4712501,4,6.1992426,31.566544
13,17.454077,6.2089534,4,5.2845283,29.623625
14,15.006262,6.1001453,4,3.0499771,26.962547
15,14.562054,6.348289,4,2.1194072,27.0047
16,13.07526,6.5902071,4,.15845424,25.992065
17,12.60734,6.6902475,4,-.50554532,25.720224
18,9.3338757,6.8599224,4,-4.1115723,22.779324
19,6.9276295,6.423008,4,-5.6614661,19.516726
20,6.8272977,6.3495154,4,-5.6177526,19.272348
21,6.4152379,6.2078733,4,-5.7521939,18.58267
22,5.4900727,6.0853157,4,-6.4371462,17.417292
23,5.1555204,6.2194147,4,-7.0345325,17.345573
24,3.4278941,6.3154421,4,-8.9503727,15.806161
25,2.8936422,6.6085558,4,-10.059127,15.846412
-10,-5.7502933,8.3310432,5,-22.079138,10.578551
-9,-.62278789,6.2261081,5,-12.82596,11.580384
-8,-1.424924,4.2804422,5,-9.8145905,6.9647427
-7,-2.5702226,3.069706,5,-8.5868464,3.4464011
-6,-4.3528361,2.5261927,5,-9.3041735,.5985015
-5,-1.9072573,1.6051977,5,-5.0534449,1.2389301
-4,0,8.7597798e-18,5,-1.7169169e-17,1.7169169e-17
-3,1.4859695e-15,4.1970250e-15,5,-6.7401995e-15,9.7121382e-15
-2,-5.2190452e-15,3.0991752e-15,5,-1.1293428e-14,8.5533816e-16
-1,1.6450932e-14,8.4492680e-15,5,-1.0963368e-16,3.3011496e-14
0,3.9162855,2.0244725,5,-.051680535,7.8842516
1,10.263953,2.8149977,5,4.7465577,15.781348
2,16.166693,3.9074705,5,8.5080509,23.825335
3,21.193502,5.0803032,5,11.236108,31.150896
4,22.242645,5.9945269,5,10.493373,33.991917
5,22.275539,5.9961472,5,10.523091,34.027988
6,22.021358,6.2005558,5,9.868269,34.174446
7,23.19338,6.2134418,5,11.015035,35.371727
8,22.099281,6.139605,5,10.065656,34.132908
9,20.087097,6.3467159,5,7.6475339,32.526661
10,21.564362,6.3485532,5,9.1211977,34.007526
11,23.102421,6.0301909,5,11.283247,34.921597
12,21.982862,5.6469855,5,10.914771,33.050953
13,20.276552,5.2938142,5,9.9006767,30.652428
14,19.680344,5.1456079,5,9.5949516,29.765736
15,19.181824,5.2915163,5,8.8104515,29.553196
16,16.106283,5.5472765,5,5.2336211,26.978945
17,15.734063,5.607398,5,4.7435632,26.724564
18,12.995668,5.7445092,5,1.7364303,24.254906
19,10.389627,5.3991351,5,-.19267832,20.971931
20,10.394986,5.3248367,5,-.04169384,20.831667
21,9.439414,5.2861104,5,-.92136234,19.80019
22,8.2728415,5.1626968,5,-1.8460443,18.391727
23,7.0992346,5.246634,5,-3.1841681,17.382637
24,4.4879947,5.1238155,5,-5.5546837,14.530673
25,2.7428207,5.5706677,5,-8.1756878,13.661329
