h,coef,se,spec,ci_lo,ci_hi,spec_label
0,11.087651,3.0815649,1,5.0477839,17.127518,Baseline
1,21.131685,5.7229524,1,9.9146986,32.348671,Baseline
2,20.118822,7.0270782,1,6.3457489,33.891895,Baseline
3,22.532856,7.5947967,1,7.6470547,37.418659,Baseline
4,19.048336,9.1992035,1,1.0178971,37.078773,Baseline
5,26.084583,9.2591753,1,7.9365997,44.232567,Baseline
6,24.209614,9.8396616,1,4.9238772,43.49535,Baseline
7,26.357578,10.695715,1,5.3939772,47.321178,Baseline
8,30.733383,11.413243,1,8.3634262,53.10334,Baseline
9,31.713066,12.179642,1,7.8409681,55.585163,Baseline
10,34.588455,13.806686,1,7.5273499,61.649559,Baseline
11,36.609669,13.444848,1,10.257767,62.961571,Baseline
12,30.102272,12.621892,1,5.3633637,54.841179,Baseline
13,27.943325,11.930822,1,4.5589132,51.327736,Baseline
14,27.108101,12.30702,1,2.9863412,51.229862,Baseline
15,27.139896,12.423818,1,2.7892139,51.490578,Baseline
16,29.318247,12.946683,1,3.9427483,54.693745,Baseline
17,26.571823,13.064131,1,.9661268,52.177521,Baseline
18,21.335571,13.287286,1,-4.707509,47.378651,Baseline
19,16.744349,12.504518,1,-7.7645059,41.253204,Baseline
20,14.380204,12.593036,1,-10.302146,39.062553,Baseline
0,15.462892,2.9747276,2,9.6324253,21.293358,Full Controls
1,25.521435,6.0217857,2,13.718735,37.324135,Full Controls
2,26.885307,6.7792506,2,13.597976,40.172638,Full Controls
3,30.905521,7.0894737,2,17.010153,44.800888,Full Controls
4,26.945448,8.0255098,2,11.215448,42.675446,Full Controls
5,22.012875,7.7248421,2,6.8721843,37.153564,Full Controls
6,23.301643,8.2613134,2,7.1094689,39.493816,Full Controls
7,29.502352,9.261467,2,11.349876,47.654827,Full Controls
8,34.310726,10.505208,2,13.720518,54.900932,Full Controls
9,30.473543,11.261925,2,8.4001703,52.546917,Full Controls
10,31.171303,11.379745,2,8.8670015,53.475605,Full Controls
11,33.115036,12.218492,2,9.1667929,57.063278,Full Controls
12,28.392265,12.314908,2,4.2550454,52.529484,Full Controls
13,23.688154,11.683105,2,.78926748,46.58704,Full Controls
14,23.491953,11.489545,2,.97244495,46.011459,Full Controls
15,26.271091,12.318482,2,2.1268659,50.415318,Full Controls
16,28.655827,13.522768,2,2.1512012,55.160454,Full Controls
17,25.322449,14.008233,2,-2.133688,52.778587,Full Controls
18,21.787117,14.771276,2,-7.1645851,50.738819,Full Controls
19,16.348742,14.156534,2,-11.398066,44.095547,Full Controls
20,14.331555,13.603472,2,-12.331249,40.994362,Full Controls
