h,coef,se,spec,ci_lo,ci_hi,spec_label
0,-.99101067,7.6625767,1,-16.009661,14.027639,Baseline
1,1.5390079,11.277287,1,-20.564474,23.64249,Baseline
2,18.534105,13.744966,1,-8.4060268,45.474239,Baseline
3,34.860527,16.393267,1,2.7297244,66.991333,Baseline
4,40.651417,17.875429,1,5.6155758,75.687256,Baseline
5,42.413586,20.353563,1,2.5206015,82.306572,Baseline
6,34.849262,22.384546,1,-9.0244484,78.722977,Baseline
7,24.296085,25.032658,1,-24.767923,73.360092,Baseline
8,19.097631,29.114616,1,-37.967018,76.162277,Baseline
9,28.219685,28.707613,1,-28.047237,84.486603,Baseline
10,41.101662,31.487589,1,-20.614012,102.81734,Baseline
11,44.457092,31.699617,1,-17.674158,106.58834,Baseline
12,44.20694,30.99073,1,-16.534891,104.94877,Baseline
13,46.893578,28.736179,1,-9.4293337,103.21649,Baseline
14,39.640942,27.587595,1,-14.430744,93.712631,Baseline
15,21.933407,26.897833,1,-30.786346,74.65316,Baseline
16,9.3871965,26.863018,1,-43.26432,62.038712,Baseline
17,5.8488464,25.739977,1,-44.601509,56.299202,Baseline
18,-6.407289,25.506836,1,-56.400688,43.586109,Baseline
19,-10.245765,26.362564,1,-61.916389,41.424862,Baseline
20,-5.752636,27.263515,1,-59.189125,47.683853,Baseline
0,-.43861774,9.0642977,2,-18.204641,17.327406,Full Controls
1,7.1427159,14.922787,2,-22.105946,36.391376,Full Controls
2,39.00272,18.492258,2,2.757894,75.247543,Full Controls
3,44.584999,22.80411,2,-.11105568,89.281052,Full Controls
4,37.76733,24.88241,2,-11.002193,86.536858,Full Controls
5,44.858521,27.492405,2,-9.0265932,98.743637,Full Controls
6,27.93996,29.362919,2,-29.611361,85.49128,Full Controls
7,14.578053,31.115326,2,-46.407986,75.564095,Full Controls
8,3.299706,34.139347,2,-63.613415,70.21283,Full Controls
9,11.158133,33.704121,2,-54.901943,77.218208,Full Controls
10,27.377365,37.495129,2,-46.113087,100.86782,Full Controls
11,27.24078,37.284573,2,-45.836983,100.31854,Full Controls
12,14.477692,35.639641,2,-55.376003,84.33139,Full Controls
13,42.474232,34.922783,2,-25.974422,110.92289,Full Controls
14,36.559788,33.640099,2,-29.374805,102.49438,Full Controls
15,25.03937,29.871424,2,-33.508621,83.587357,Full Controls
16,14.298512,29.635519,2,-43.787106,72.384132,Full Controls
17,6.5878644,30.182497,2,-52.569828,65.74556,Full Controls
18,-9.5844641,28.265326,2,-64.984505,45.815575,Full Controls
19,-22.64399,30.750957,2,-82.915863,37.627888,Full Controls
20,-37.539509,36.281712,2,-108.65166,33.572647,Full Controls
