horizon,coef,se,ci_lo,ci_hi
0,1,7.9552270e-16,1,1
1,1.0157872,.018670514,.97919303,1.0523814
2,.87758332,.028741065,.82125086,.93391585
3,.75225288,.033745918,.68611091,.8183949
4,.60192537,.03695938,.52948499,.67436576
5,.49106967,.038136266,.41632259,.56581676
6,.38513136,.039288376,.30812612,.46213657
7,.30541936,.037143759,.23261759,.37822112
8,.24307401,.037391521,.16978663,.3163614
9,.19127066,.036948256,.11885208,.26368925
10,.15441152,.037811831,.080300339,.22852272
11,.097120531,.037484456,.023650993,.17059007
12,.059753664,.036807876,-.012389772,.13189711
13,.028785408,.033355195,-.036590777,.094161592
14,.00197487,.032607902,-.061936617,.065886356
15,-.032150894,.030587586,-.092102565,.027800776
16,-.066667505,.028157219,-.12185565,-.011479354
17,-.08586131,.028668828,-.14205222,-.02967041
18,-.1117923,.025016528,-.1608247,-.062759914
19,-.10364559,.024160566,-.15100031,-.056290884
20,-.089621879,.023308648,-.13530682,-.043936931
21,-.10825294,.023607379,-.1545234,-.061982471
22,-.093731143,.023368901,-.13953419,-.047928095
23,-.088930279,.027121082,-.14208761,-.035772964
24,-.11411189,.02922407,-.17139105,-.056832708
25,-.10897237,.029843666,-.16746596,-.050478783
