horizon,unbal_coef,unbal_se,bal_coef,bal_se,bal_ci_lo,bal_ci_hi
-10,-6.6410747,7.1258683,-5.5621324,7.5798316,-20.418602,9.2943373
-9,-2.9048884,5.5571432,-1.5449842,5.8348684,-12.981326,9.8913574
-8,-2.8336918,3.903039,-1.0631714,3.9878054,-8.8792696,6.7529273
-7,-3.9991434,2.8428957,-1.7236868,2.8832808,-7.374917,3.9275432
-6,-3.8247159,2.0921574,-3.1426611,2.1324713,-7.3223047,1.0369825
-5,-1.0882663,1.3089477,-1.2779102,1.3267934,-3.8784254,1.3226049
-4,2.4642379e-14,2.9928469e-14,-7.9420228e-14,7.6016206e-14,-2.2841199e-13,6.9571532e-14
-3,2.4679355e-15,2.2347480e-15,-2.6517658e-15,3.7074480e-15,-9.9183636e-15,4.6148324e-15
-2,1.2359283e-14,6.4033158e-15,-5.3122823e-15,2.9280038e-15,-1.1051169e-14,4.2660507e-16
-1,2.3519872e-14,8.7875264e-15,0,5.8096301e-19,-1.1386875e-18,1.1386875e-18
0,4.2588019,2.0755296,3.53233,1.8490729,-.091852717,7.1565132
1,11.244587,2.8195016,10.120375,2.7476585,4.7349639,15.505785
2,17.247828,3.6319354,15.562805,3.6872733,8.3357496,22.789862
3,20.310333,4.2749548,19.979996,4.6024461,10.959203,29.000792
4,19.977034,5.0397296,20.153316,5.4118452,9.5460987,30.760532
5,21.951464,4.9653192,22.000717,5.2829552,11.646126,32.355309
6,21.355776,5.0817909,21.925728,5.3735642,11.393541,32.457912
7,21.293257,5.2517767,21.964918,5.5463362,11.0941,32.835739
8,19.103996,5.3301125,20.819489,5.6120324,9.8199053,31.819073
9,18.505663,5.5009985,19.736115,5.786551,8.394474,31.077755
10,18.563107,5.550211,20.731667,5.9317789,9.1053791,32.357952
11,20.945395,5.4835029,23.675541,5.8454814,12.218398,35.132687
12,19.011345,5.1915307,22.503557,5.503922,11.71587,33.291245
13,17.3361,4.9496055,20.774345,5.2380147,10.507836,31.040855
14,15.584936,5.0042067,19.006308,5.201158,8.8120375,29.200577
15,14.306109,5.1898394,17.848999,5.4110308,7.2433791,28.45462
16,12.551359,5.4035168,15.344418,5.6451874,4.279851,26.408985
17,12.851813,5.3339748,14.814699,5.6096311,3.8198225,25.809576
18,11.053918,5.4892306,11.838586,5.7568846,.5550918,23.12208
19,9.1882524,5.1942344,9.6419325,5.3990264,-.94015998,20.224024
20,10.022438,5.2825694,9.7424383,5.4382739,-.91657865,20.401455
21,9.6603251,5.2044311,9.337821,5.3360248,-1.1207869,19.796431
22,8.6605997,5.0711398,8.0292482,5.2171397,-2.1963458,18.254841
23,7.9666533,5.1363754,7.460371,5.2363043,-2.8027854,17.723528
24,5.5874333,5.2464557,5.313488,5.321085,-5.1158385,15.742814
25,3.448597,5.4895329,3.6389718,5.5854726,-7.3085542,14.586497
