horizon,coef,se,ci_lo,ci_hi,component
0,1.8704127,1.1069583,-.29922557,4.040051,1
0,4.7435579,2.0934858,.64032573,8.8467903,2
0,.65391159,.83034378,-.97356218,2.2813854,3
1,4.9938188,1.7718494,1.5209941,8.4666433,1
1,8.0233202,2.959888,2.2219393,13.8247,2
1,2.9234643,1.1695224,.63120037,5.2157283,3
2,9.0702791,2.4877563,4.1942773,13.946281,1
2,7.6107464,3.4631112,.82304817,14.398444,2
2,4.333364,1.6631949,1.0735019,7.593226,3
3,10.048082,2.9282517,4.3087087,15.787456,1
3,9.2784977,4.1986437,1.0491563,17.507839,2
3,6.1080298,1.9417685,2.3021636,9.9138966,3
4,8.3720522,3.0611341,2.3722298,14.371875,1
4,9.1053925,4.4986768,.28798658,17.922798,2
4,7.9613271,2.1040442,3.8374004,12.085254,3
5,9.4233227,3.3025944,2.9502375,15.896408,1
5,11.222413,4.7026153,2.0052879,20.439539,2
5,8.9049492,2.5911252,3.8263435,13.983555,3
6,8.3237753,3.572978,1.3207386,15.326812,1
6,12.130589,5.0359836,2.2600613,22.001116,2
6,11.079084,3.3500943,4.5128994,17.645269,3
7,8.3152161,3.5673237,1.3232617,15.307171,1
7,12.382595,5.1970005,2.1964741,22.568716,2
7,12.792644,3.641362,5.6555743,19.929714,3
8,7.2510076,3.5642257,.26512533,14.23689,1
8,10.361602,5.6042719,-.62277132,21.345976,2
8,13.767703,3.7243133,6.468049,21.067358,3
9,6.0205207,3.3714781,-.58757639,12.628618,1
9,11.921349,5.942843,.27337581,23.569321,2
9,13.100393,3.9088693,5.4390092,20.761776,3
10,6.4175692,3.4878166,-.41855118,13.25369,1
10,11.677964,6.4771094,-1.0171703,24.373098,2
10,12.829741,4.126864,4.7410874,20.918396,3
11,5.7475991,3.6757872,-1.4569436,12.952142,1
11,16.222229,6.8367915,2.822118,29.622341,2
11,11.516537,4.1054559,3.4698427,19.563231,3
12,4.9419494,3.8113399,-2.5282767,12.412175,1
12,15.425934,6.9928451,1.7199571,29.13191,2
12,11.045897,4.1616015,2.889158,19.202637,3
13,3.7143073,3.8597629,-3.8508277,11.279443,1
13,15.128128,6.891387,1.6210095,28.635246,2
13,11.713698,4.1028891,3.6720357,19.75536,3
14,3.8757994,4.0772061,-4.1155248,11.867124,1
14,14.213675,7.1475296,.20451775,28.222834,2
14,12.474894,4.2781324,4.0897541,20.860033,3
15,4.4249997,3.9428608,-3.3030078,12.153008,1
15,14.315002,7.2025175,.19806802,28.431936,2
15,9.8495302,4.232635,1.5535654,18.145496,3
16,3.8851528,4.0278077,-4.0093498,11.779655,1
16,14.46507,7.6426616,-.51454777,29.444687,2
16,8.7411642,4.2241635,.461804,17.020525,3
17,4.5703273,4.2696838,-3.7982535,12.938908,1
17,13.768156,7.0507007,-.051217284,27.587528,2
17,7.6581054,4.0543594,-.28843889,15.60465,3
18,4.5342689,4.2615843,-3.8184364,12.886974,1
18,9.2453156,7.0744419,-4.6205907,23.111221,2
18,6.7131567,4.1087337,-1.3399613,14.766274,3
19,3.8741343,4.0623565,-4.0880842,11.836352,1
19,7.8821092,6.4163313,-4.6939001,20.458118,2
19,5.2933712,3.8934219,-2.3377357,12.924479,3
20,5.4089165,4.3294449,-3.0767956,13.894629,1
20,7.4007006,6.2786164,-4.9053874,19.706789,2
20,4.8503017,3.9510405,-2.8937373,12.594341,3
21,5.3460112,4.2369885,-2.9584866,13.650509,1
21,5.8336301,6.206459,-6.3310299,17.998289,2
21,4.7799549,4.177742,-3.4084191,12.968329,3
22,4.1703091,4.1087208,-3.8827837,12.223402,1
22,5.1410108,6.2058702,-7.0224953,17.304516,2
22,4.1143742,4.3391848,-4.3904281,12.619176,3
23,4.5682769,4.0808725,-3.4302328,12.566787,1
23,4.2249441,5.9309754,-7.3997674,15.849655,2
23,1.6748523,4.6325316,-7.4049096,10.754614,3
24,3.6727452,3.8688784,-3.9102564,11.255747,1
24,3.1605201,5.9683609,-8.537468,14.858507,2
24,1.0404096,4.4154334,-7.6138396,9.6946592,3
25,2.0376296,3.6524558,-5.1211839,9.1964426,1
25,2.6280892,6.6099777,-10.327467,15.583645,2
25,-.90198356,4.0877266,-8.9139271,7.1099601,3
