horizon,coef,se,ci_lo,ci_hi,component
0,1.6605072,1.0780631,-.45249662,3.7735109,1
1,4.3638225,1.7944858,.84663033,7.8810143,1
2,8.4842825,2.5584607,3.4696994,13.498865,1
3,9.4164734,3.0276537,3.4822721,15.350675,1
4,8.097887,3.158566,1.9070972,14.288676,1
5,9.114872,3.3015075,2.6439171,15.585826,1
6,8.0476408,3.4511406,1.2834055,14.811876,1
7,7.9115057,3.417897,1.2124273,14.610584,1
8,7.4436398,3.5211279,.542229,14.34505,1
9,6.4540119,3.2972836,-.0086638276,12.916688,1
10,7.442997,3.4177215,.74426281,14.141731,1
11,6.6371298,3.4342406,-.09398137,13.368241,1
12,6.0206275,3.5208118,-.88016343,12.921418,1
13,4.7186542,3.5339715,-2.2079301,11.645239,1
14,4.7921014,3.757025,-2.5716679,12.15587,1
15,5.2691216,3.6355371,-1.8565311,12.394774,1
16,4.557126,3.8467867,-2.9825757,12.096828,1
17,4.7993126,4.0974021,-3.231595,12.83022,1
18,5.250423,4.0266027,-2.6417184,13.142564,1
19,4.8277636,3.8444617,-2.7073815,12.362908,1
20,5.9377403,4.1682882,-2.2321041,14.107585,1
21,5.8230042,4.0896363,-2.192683,13.838692,1
22,4.7334185,4.1444244,-3.3896534,12.85649,1
23,5.2006116,4.2956967,-3.2189538,13.620177,1
24,4.3454928,4.1596098,-3.8073425,12.498328,1
25,2.932934,4.0203834,-4.9470177,10.812885,1
0,4.006454,1.981294,.12311785,7.8897905,2
1,5.8880877,2.774596,.44987988,11.326296,2
2,4.6831303,3.3289306,-1.8415735,11.207834,2
3,5.4117222,3.9929109,-2.4143834,13.237827,2
4,5.2471786,4.1814919,-2.9485459,13.442903,2
5,6.763608,4.4587507,-1.9755435,15.502759,2
6,7.2663245,4.7449999,-2.0338752,16.566525,2
7,7.1278634,4.9891949,-2.6509588,16.906687,2
8,5.13029,5.3947382,-5.4433966,15.703977,2
9,6.8553948,5.7198944,-4.355598,18.066387,2
10,6.4508176,6.2541871,-5.8073888,18.709024,2
11,10.876823,6.7196665,-2.2937231,24.047371,2
12,10.334281,6.9573483,-3.3021212,23.970684,2
13,9.9400091,6.7499104,-3.2898152,23.169834,2
14,8.6586351,7.0351553,-5.1302695,22.447538,2
15,9.3095598,6.9947691,-4.400188,23.019308,2
16,9.7656126,7.4022303,-4.7427583,24.273985,2
17,9.2310677,6.7198634,-3.9398649,22.402,2
18,5.4021773,6.6726637,-7.6762433,18.480598,2
19,4.706481,6.0045271,-7.0623922,16.475355,2
20,3.9744937,5.985889,-7.7578487,15.706837,2
21,2.6303487,5.8465104,-8.8288116,14.089509,2
22,2.1568542,5.8842425,-9.3762608,13.689969,2
23,1.8453826,5.5487523,-9.0301723,12.720937,2
24,1.1017129,5.6380363,-9.9488382,12.152265,2
25,1.6323082,6.2680588,-10.653087,13.917703,2
0,.27993512,.90736496,-1.4985002,2.0583704,3
1,2.0204389,1.2353935,-.40093249,4.4418101,3
2,3.2824812,1.6739631,.0015133917,6.5634489,3
3,4.8794355,1.9007361,1.1539927,8.6048784,3
4,6.9245615,1.9726359,3.0581956,10.790928,3
5,7.6295094,2.4036162,2.918422,12.340597,3
6,9.7300243,2.9828634,3.8836124,15.576437,3
7,11.311597,3.2924595,4.8583765,17.764818,3
8,12.785953,3.4501717,6.0236163,19.54829,3
9,12.165921,3.6790316,4.95502,19.376823,3
10,12.056138,3.9761353,4.2629123,19.849363,3
11,10.202649,4.0263886,2.3109267,18.094372,3
12,9.8568382,4.1697259,1.6841758,18.029501,3
13,10.535591,4.0803347,2.5381348,18.533047,3
14,11.248352,4.2669787,2.8850734,19.611631,3
15,8.6478815,4.1544929,.50507557,16.790688,3
16,7.3311467,4.2004485,-.9017325,15.564026,3
17,6.1760321,3.996906,-1.6579039,14.009968,3
18,5.8150272,4.0617313,-2.1459661,13.776021,3
19,4.6026821,3.7804663,-2.8070319,12.012396,3
20,4.0086751,3.8205636,-3.4796293,11.49698,3
21,4.0181952,4.0396466,-3.8995121,11.935903,3
22,3.5664742,4.100493,-4.4704919,11.60344,3
23,1.2918192,4.3561668,-7.2462678,9.8299065,3
24,.95196998,4.2070618,-7.2938714,9.1978111,3
25,-.60999203,3.9236658,-8.3003769,7.0803928,3
